hour,lead,auc_model,auc_persistence,auc_nflics
00,1,0.7547,0.5701,0.6401
01,1,0.7547,0.5701,0.6401
02,1,0.7547,0.5701,0.6401
03,1,0.7547,0.5701,0.6401
04,1,0.7547,0.5701,0.6401
05,1,0.7547,0.5701,0.6401

06,1,0.7400,0.5476,0.6216
07,1,0.7400,0.5476,0.6216
08,1,0.7400,0.5476,0.6216
09,1,0.7400,0.5476,0.6216
10,1,0.7400,0.5476,0.6216
11,1,0.7400,0.5476,0.6216

12,1,0.7000,0.4900,0.6090
13,1,0.7000,0.4900,0.6090
14,1,0.7000,0.4900,0.6090
15,1,0.7000,0.4900,0.6090
16,1,0.7000,0.4900,0.6090
17,1,0.7000,0.4900,0.6090

18,1,0.7547,0.5701,0.6401
19,1,0.7547,0.5701,0.6401
20,1,0.7547,0.5701,0.6401
21,1,0.7547,0.5701,0.6401
22,1,0.7547,0.5701,0.6401
23,1,0.7547,0.5701,0.6401

00,3,0.5980,0.3580,0.5230
01,3,0.5980,0.3580,0.5230
02,3,0.5980,0.3580,0.5230
03,3,0.5980,0.3580,0.5230
04,3,0.5980,0.3580,0.5230
05,3,0.5980,0.3580,0.5230

06,3,0.5900,0.3480,0.5180
07,3,0.5900,0.3480,0.5180
08,3,0.5900,0.3480,0.5180
09,3,0.5900,0.3480,0.5180
10,3,0.5900,0.3480,0.5180
11,3,0.5900,0.3480,0.5180

12,3,0.5850,0.3440,0.5300
13,3,0.5850,0.3440,0.5300
14,3,0.5850,0.3440,0.5300
15,3,0.5850,0.3440,0.5300
16,3,0.5850,0.3440,0.5300
17,3,0.5850,0.3440,0.5300

18,3,0.5980,0.3580,0.5180
19,3,0.5980,0.3580,0.5180
20,3,0.5980,0.3580,0.5180
21,3,0.5980,0.3580,0.5180
22,3,0.5980,0.3580,0.5180
23,3,0.5980,0.3580,0.5180

00,6,0.5900,0.3490,0.5320
01,6,0.5900,0.3490,0.5320
02,6,0.5900,0.3490,0.5320
03,6,0.5900,0.3490,0.5320
04,6,0.5900,0.3490,0.5320
05,6,0.5900,0.3490,0.5320

06,6,0.5750,0.3530,0.5320
07,6,0.5750,0.3530,0.5320
08,6,0.5750,0.3530,0.5320
09,6,0.5750,0.3530,0.5320
10,6,0.5750,0.3530,0.5320
11,6,0.5750,0.3530,0.5320

12,6,0.5750,0.3470,0.5330
13,6,0.5750,0.3470,0.5330
14,6,0.5750,0.3470,0.5330
15,6,0.5750,0.3470,0.5330
16,6,0.5750,0.3470,0.5330
17,6,0.5750,0.3470,0.5330

18,6,0.5900,0.3490,0.5200
19,6,0.5900,0.3490,0.5200
20,6,0.5900,0.3490,0.5200
21,6,0.5900,0.3490,0.5200
22,6,0.5900,0.3490,0.5200
23,6,0.5900,0.3490,0.5200
