model,scale_km,lead_time_h,fss
NCAST,150,1,0.67
NCAST,150,3,0.53
NCAST,150,6,0.45
NCAST,80,1,0.53
NCAST,80,3,0.42
NCAST,80,6,0.34
NCAST,30,1,0.40
NCAST,30,3,0.32
NCAST,30,6,0.26
NCAST,10,1,0.36
NCAST,10,3,0.29
NCAST,10,6,0.23
Persistence,150,1,0.77
Persistence,150,3,0.33
Persistence,150,6,0.14
Persistence,80,1,0.64
Persistence,80,3,0.18
Persistence,80,6,0.08
Persistence,30,1,0.49
Persistence,30,3,0.11
Persistence,30,6,0.04
Persistence,10,1,0.43
Persistence,10,3,0.09
Persistence,10,6,0.04
NFLICS,150,1,0.40
NFLICS,150,3,0.41
NFLICS,150,6,0.40
NFLICS,80,1,0.33
NFLICS,80,3,0.32
NFLICS,80,6,0.31
NFLICS,30,1,0.27
NFLICS,30,3,0.25
NFLICS,30,6,0.24
NFLICS,10,1,0.24
NFLICS,10,3,0.23
NFLICS,10,6,0.21
