year,month,day,hour,minute,ncores
2020,6,6,4,30,15
2020,6,25,6,15,15
2020,6,5,18,15,17
2020,6,5,18,30,16
2020,6,5,18,45,15
2020,6,7,18,0,21
2020,6,7,18,15,18
2020,6,7,18,30,16
2020,6,14,18,0,15
2020,6,14,18,15,15
2020,6,24,18,0,22
2020,6,24,18,15,19
2020,6,24,18,30,17
2020,6,24,18,45,16
2020,6,5,15,30,16
2020,6,5,15,45,15
2020,6,7,15,15,16
2020,6,7,15,30,16
2020,6,7,15,45,15
2020,6,14,15,0,16
2020,6,14,15,15,15
2020,6,14,15,30,16
2020,6,24,15,15,17
2020,6,24,15,30,17
2020,6,24,15,45,19
2020,6,5,16,0,16
2020,6,5,16,30,16
2020,6,5,16,45,17
2020,6,7,16,0,18
2020,6,7,16,15,18
2020,6,7,16,30,17
2020,6,7,16,45,19
2020,6,9,16,45,15
2020,6,14,16,0,16
2020,6,14,16,15,17
2020,6,24,16,0,21
2020,6,24,16,15,22
2020,6,24,16,30,22
2020,6,24,16,45,21
2020,6,5,19,15,17
2020,6,5,19,45,17
2020,6,14,19,15,15
2020,6,14,19,30,15
2020,6,24,19,0,21
2020,6,24,19,15,19
2020,6,24,19,30,19
2020,6,5,17,0,18
2020,6,5,17,15,15
2020,6,5,17,30,18
2020,6,5,17,45,16
2020,6,7,17,0,21
2020,6,7,17,15,21
2020,6,7,17,30,20
2020,6,7,17,45,18
2020,6,24,17,0,20
2020,6,24,17,15,19
2020,6,24,17,30,18
2020,6,24,17,45,21
2020,6,5,21,30,17
2020,6,5,20,0,16
2020,6,5,20,15,17
2020,6,7,23,0,15
2020,7,2,3,0,16
2020,7,2,5,45,16
2020,7,2,4,15,16
2020,7,2,1,15,15
2020,7,2,2,0,15
2020,7,2,2,15,17
2020,7,2,2,30,17
2020,7,2,2,45,16
2020,7,1,13,45,16
2020,7,23,13,45,16
2020,7,1,14,0,19
2020,7,1,14,15,22
2020,7,1,14,30,23
2020,7,1,14,45,22
2020,7,20,14,45,16
2020,7,23,14,0,16
2020,7,23,14,15,20
2020,7,23,14,30,25
2020,7,23,14,45,26
2020,7,1,15,0,23
2020,7,1,15,15,25
2020,7,1,15,30,28
2020,7,1,15,45,24
2020,7,10,15,0,15
2020,7,10,15,15,16
2020,7,10,15,30,16
2020,7,18,15,15,15
2020,7,18,15,45,17
2020,7,20,15,0,17
2020,7,20,15,15,19
2020,7,20,15,30,17
2020,7,20,15,45,15
2020,7,23,15,0,24
2020,7,23,15,15,22
2020,7,23,15,30,28
2020,7,23,15,45,20
2020,7,20,20,15,17
2020,7,23,20,15,17
2020,7,23,20,30,16
2020,7,23,20,45,17
2020,7,23,22,45,15
2020,7,1,16,0,23
2020,7,1,16,15,22
2020,7,1,16,30,15
2020,7,1,16,45,15
2020,7,10,16,0,15
2020,7,10,16,30,15
2020,7,11,16,0,15
2020,7,11,16,30,15
2020,7,15,16,30,15
2020,7,18,16,0,19
2020,7,18,16,15,18
2020,7,18,16,30,16
2020,7,18,16,45,16
2020,7,20,16,0,17
2020,7,20,16,45,15
2020,7,23,16,0,22
2020,7,23,16,15,22
2020,7,23,16,30,18
2020,7,23,16,45,17
2020,7,26,16,0,19
2020,7,26,16,15,15
2020,7,26,16,30,15
2020,7,23,21,0,15
2020,7,20,19,30,15
2020,7,24,19,0,16
2020,7,1,18,0,16
2020,7,1,18,15,16
2020,7,9,18,0,15
2020,7,15,18,0,18
2020,7,20,18,30,15
2020,7,23,18,0,19
2020,7,23,18,15,19
2020,7,23,18,30,18
2020,7,23,18,45,15
2020,7,24,18,0,15
2020,7,29,18,0,15
2020,7,1,17,0,16
2020,7,1,17,30,15
2020,7,1,17,45,16
2020,7,10,17,30,16
2020,7,10,17,45,15
2020,7,15,17,15,18
2020,7,18,17,0,17
2020,7,18,17,15,17
2020,7,20,17,0,15
2020,7,23,17,0,17
2020,7,23,17,15,15
2020,7,23,17,30,19
2020,7,23,17,45,21
2020,7,29,17,30,15
2020,7,31,17,0,17
2020,7,31,17,15,15
2020,7,31,17,30,15
2020,8,18,13,30,17
2020,8,18,13,45,16
2020,8,18,14,0,17
2020,8,18,14,15,18
2020,8,18,14,30,19
2020,8,18,14,45,21
2020,8,14,18,0,15
2020,8,18,18,0,21
2020,8,18,18,30,15
2020,8,18,18,45,20
2020,8,20,18,0,15
2020,8,20,18,30,15
2020,8,18,15,0,23
2020,8,18,15,15,26
2020,8,18,15,30,28
2020,8,18,15,45,28
2020,8,31,15,15,15
2020,8,18,16,0,27
2020,8,18,16,15,24
2020,8,18,16,30,22
2020,8,18,16,45,26
2020,8,20,16,0,17
2020,8,20,16,15,16
2020,8,18,19,0,20
2020,8,18,19,15,18
2020,8,18,19,30,15
2020,8,18,19,45,15
2020,8,18,20,0,16
2020,8,18,20,15,16
2020,8,14,17,15,16
2020,8,18,17,0,21
2020,8,18,17,15,23
2020,8,18,17,30,23
2020,8,18,17,45,26
2020,8,20,17,30,18
2020,8,20,17,45,16
2020,9,5,12,30,15
2020,9,5,12,45,20
2020,9,4,13,0,15
2020,9,4,13,15,17
2020,9,4,13,30,19
2020,9,4,13,45,15
2020,9,5,13,0,18
2020,9,5,13,15,15
2020,9,5,13,30,18
2020,9,5,13,45,21
2020,9,23,13,15,15
2020,9,23,13,30,16
2020,9,23,13,45,15
2020,9,4,15,0,16
2020,9,4,15,15,17
2020,9,4,15,30,16
2020,9,5,15,0,27
2020,9,5,15,15,26
2020,9,5,15,30,22
2020,9,5,15,45,27
2020,9,13,15,0,20
2020,9,13,15,15,15
2020,9,13,15,30,15
2020,9,13,15,45,20
2020,9,19,15,30,16
2020,9,19,15,45,18
2020,9,20,15,15,16
2020,9,20,15,30,21
2020,9,20,15,45,20
2020,9,28,15,45,15
2020,9,30,15,0,24
2020,9,30,15,15,25
2020,9,30,15,30,28
2020,9,30,15,45,28
2020,9,4,14,0,18
2020,9,4,14,15,18
2020,9,4,14,30,21
2020,9,4,14,45,21
2020,9,5,14,0,17
2020,9,5,14,15,21
2020,9,5,14,30,29
2020,9,5,14,45,31
2020,9,13,14,45,15
2020,9,30,14,0,17
2020,9,30,14,15,18
2020,9,30,14,30,23
2020,9,30,14,45,23
2020,9,5,17,0,29
2020,9,5,17,15,25
2020,9,5,17,30,28
2020,9,5,17,45,32
2020,9,8,17,0,17
2020,9,8,17,15,18
2020,9,8,17,30,21
2020,9,8,17,45,21
2020,9,9,17,15,15
2020,9,11,17,0,15
2020,9,13,17,0,21
2020,9,13,17,15,20
2020,9,13,17,30,15
2020,9,13,17,45,15
2020,9,18,17,0,15
2020,9,18,17,15,17
2020,9,18,17,30,16
2020,9,18,17,45,16
2020,9,19,17,0,21
