season,lead_time_min,hour,local_excl_km,guard_excl_km,incl_radius_km,p_incl_causal,n_causal
DJF,30,10,30,100,25,0.02734572741620098,100747
DJF,30,10,30,100,40,0.036735585178715,100747
DJF,30,11,30,100,25,0.028371534910207653,98338
DJF,30,11,30,100,40,0.037676178079684354,98338
DJF,30,12,30,100,25,0.02967964271899286,85311
DJF,30,12,30,100,40,0.04024100057436907,85311
DJF,30,13,30,100,25,0.03402394706742533,69069
DJF,30,13,30,100,40,0.044636522897392464,69069
DJF,30,14,30,100,25,0.03511947201959816,54699
DJF,30,14,30,100,40,0.04468088996142525,54699
DJF,30,15,30,100,25,0.035511773185968286,41620
DJF,30,15,30,100,40,0.0448582412301778,41620
DJF,30,16,30,100,25,0.0327874688501246,28090
DJF,30,16,30,100,40,0.03948024207903168,28090
DJF,30,17,30,100,25,0.028958430639887903,19269
DJF,30,17,30,100,40,0.03503035964502569,19269
DJF,60,10,30,180,25,0.08448186379101551,86705
DJF,60,10,30,180,40,0.10826365261518943,86705
DJF,60,11,30,180,25,0.08129046887203648,79382
DJF,60,11,30,180,40,0.10339875538535184,79382
DJF,60,12,30,180,25,0.07399192314752494,65372
DJF,60,12,30,180,40,0.09300618001590895,65372
DJF,60,13,30,180,25,0.0730332634576593,50566
DJF,60,13,30,180,40,0.09004073883637227,50566
DJF,60,14,30,180,25,0.06870248813014036,38543
DJF,60,14,30,180,40,0.0845808577432997,38543
DJF,60,15,30,180,25,0.060348989585488656,28998
DJF,60,15,30,180,40,0.07348782674667219,28998
DJF,60,16,30,180,25,0.04533691649248532,20094
DJF,60,16,30,180,40,0.0566338210411068,20094
DJF,60,17,30,180,25,0.04280472890338361,14718
DJF,60,17,30,180,40,0.0502106264438103,14718
DJF,90,10,30,250,25,0.11993829541072117,75197
DJF,90,10,30,250,40,0.1644480497892203,75197
DJF,90,11,30,250,25,0.1044403995288863,65377
DJF,90,11,30,250,40,0.14451565535279992,65377
DJF,90,12,30,250,25,0.09255494610870316,52142
DJF,90,12,30,250,40,0.12513904338153503,52142
DJF,90,13,30,250,25,0.08320814767663909,39275
DJF,90,13,30,250,40,0.10900063653723743,39275
DJF,90,14,30,250,25,0.07565970313358988,29104
DJF,90,14,30,250,40,0.09929906542056074,29104
DJF,90,15,30,250,25,0.05809778105146856,21722
DJF,90,15,30,250,40,0.07747905349415339,21722
DJF,90,16,30,250,25,0.04364552931812152,15076
DJF,90,16,30,250,40,0.05750862297691695,15076
DJF,90,17,30,250,25,0.03506515775034293,11664
DJF,90,17,30,250,40,0.045953360768175584,11664
DJF,120,10,30,350,25,0.11673190145709306,60806
DJF,120,10,30,350,40,0.17830477255533994,60806
DJF,120,11,30,350,25,0.09716881512621785,50191
DJF,120,11,30,350,40,0.14978781056364687,50191
DJF,120,12,30,350,25,0.08091725134131242,38768
DJF,120,12,30,350,40,0.1221626083367726,38768
DJF,120,13,30,350,25,0.06927331279753571,28568
DJF,120,13,30,350,40,0.10137216465975916,28568
DJF,120,14,30,350,25,0.06108662322729015,20872
DJF,120,14,30,350,40,0.08715024913760061,20872
DJF,120,15,30,350,25,0.042821814395418455,15366
DJF,120,15,30,350,40,0.062345437979955745,15366
DJF,120,16,30,350,25,0.02768361581920904,10620
DJF,120,16,30,350,40,0.04077212806026365,10620
DJF,120,17,30,350,25,0.019929245283018867,8480
DJF,120,17,30,350,40,0.031485849056603774,8480
