season,lead_time_min,hour,local_excl_km,guard_excl_km,incl_radius_km,p_incl_causal,n_causal
JJAS,30,10,30,100,25,0.034399783094963735,88518
JJAS,30,10,30,100,40,0.04269188187713233,88518
JJAS,30,11,30,100,25,0.03716256903463345,116246
JJAS,30,11,30,100,40,0.046453211293291816,116246
JJAS,30,12,30,100,25,0.037157046579684445,127459
JJAS,30,12,30,100,40,0.047615311590393776,127459
JJAS,30,13,30,100,25,0.035814380516719285,124168
JJAS,30,13,30,100,40,0.04664647896398428,124168
JJAS,30,14,30,100,25,0.03582322019598936,107863
JJAS,30,14,30,100,40,0.04616967820290554,107863
JJAS,30,15,30,100,25,0.03585789299399215,84556
JJAS,30,15,30,100,40,0.045295425516817256,84556
JJAS,30,16,30,100,25,0.03356848713967461,59252
JJAS,30,16,30,100,40,0.04188888138797003,59252
JJAS,30,17,30,100,25,0.032735184823000196,40904
JJAS,30,17,30,100,40,0.041169567768433404,40904
JJAS,60,10,30,180,25,0.08577659917222236,80698
JJAS,60,10,30,180,40,0.10524424397134997,80698
JJAS,60,11,30,180,25,0.09100657143981426,101652
JJAS,60,11,30,180,40,0.11288513752803683,101652
JJAS,60,12,30,180,25,0.09026114882947854,106491
JJAS,60,12,30,180,40,0.11309875951958381,106491
JJAS,60,13,30,180,25,0.08118459543412045,99477
JJAS,60,13,30,180,40,0.10479809403178625,99477
JJAS,60,14,30,180,25,0.07201670787622728,83314
JJAS,60,14,30,180,40,0.09489401541157548,83314
JJAS,60,15,30,180,25,0.06332536787825431,63608
JJAS,60,15,30,180,40,0.08421896616777763,63608
JJAS,60,16,30,180,25,0.05635624957443428,44059
JJAS,60,16,30,180,40,0.07426405501713611,44059
JJAS,60,17,30,180,25,0.046818256175363976,30565
JJAS,60,17,30,180,40,0.06098478652053002,30565
JJAS,90,10,30,250,25,0.10749545423934272,74245
JJAS,90,10,30,250,40,0.14853525489931982,74245
JJAS,90,11,30,250,25,0.10888595488788541,90131
JJAS,90,11,30,250,40,0.15346551131131353,90131
JJAS,90,12,30,250,25,0.10557291208307665,90904
JJAS,90,12,30,250,40,0.1499933996303793,90904
JJAS,90,13,30,250,25,0.0907796585419278,82177
JJAS,90,13,30,250,40,0.13405210703724887,82177
JJAS,90,14,30,250,25,0.07734691134968867,66971
JJAS,90,14,30,250,40,0.11606516253303668,66971
JJAS,90,15,30,250,25,0.06279009021680163,49769
JJAS,90,15,30,250,40,0.09600353633788102,49769
JJAS,90,16,30,250,25,0.05134675195117657,34082
JJAS,90,16,30,250,40,0.0780470629657884,34082
JJAS,90,17,30,250,25,0.038784553703312935,23695
JJAS,90,17,30,250,40,0.056847436167967925,23695
JJAS,120,10,30,350,25,0.09847828400297959,65781
JJAS,120,10,30,350,40,0.15784193004058922,65781
JJAS,120,11,30,350,25,0.09394723637996144,75734
JJAS,120,11,30,350,40,0.15436923970739694,75734
JJAS,120,12,30,350,25,0.0877565658794968,72496
JJAS,120,12,30,350,40,0.14460108143897593,72496
JJAS,120,13,30,350,25,0.07656071564522268,63048
JJAS,120,13,30,350,40,0.1257613247049867,63048
JJAS,120,14,30,350,25,0.06134019582219184,49739
JJAS,120,14,30,350,40,0.10412352479945315,49739
JJAS,120,15,30,350,25,0.04994977117981918,35836
JJAS,120,15,30,350,40,0.0825426944971537,35836
JJAS,120,16,30,350,25,0.037676805607710605,23967
JJAS,120,16,30,350,40,0.06133433471022656,23967
JJAS,120,17,30,350,25,0.02409422456056439,16726
JJAS,120,17,30,350,40,0.03975845988281717,16726
