season,lead_time_min,hour,local_excl_km,guard_excl_km,incl_radius_km,p_incl_causal,n_causal
MAM,30,10,30,100,25,0.03686081773502039,95630
MAM,30,10,30,100,40,0.04725504548781763,95630
MAM,30,11,30,100,25,0.04499886476762666,114514
MAM,30,11,30,100,40,0.057835723143021815,114514
MAM,30,12,30,100,25,0.04855954984311929,115693
MAM,30,12,30,100,40,0.06283007614981027,115693
MAM,30,13,30,100,25,0.04940364939594212,103798
MAM,30,13,30,100,40,0.06319967629434094,103798
MAM,30,14,30,100,25,0.0548277248326909,84574
MAM,30,14,30,100,40,0.06870905952183887,84574
MAM,30,15,30,100,25,0.05321540506391428,60941
MAM,30,15,30,100,40,0.06645772140266816,60941
MAM,30,16,30,100,25,0.052231991442510894,38329
MAM,30,16,30,100,40,0.06261577395705602,38329
MAM,30,17,30,100,25,0.044648746701846966,24256
MAM,30,17,30,100,40,0.05272922163588391,24256
MAM,60,10,30,180,25,0.10689696247766528,83950
MAM,60,10,30,180,40,0.1295175699821322,83950
MAM,60,11,30,180,25,0.12209917845345981,94456
MAM,60,11,30,180,40,0.1484818328110443,94456
MAM,60,12,30,180,25,0.12417577454611146,88568
MAM,60,12,30,180,40,0.15013323096377923,88568
MAM,60,13,30,180,25,0.11771955631535005,75459
MAM,60,13,30,180,40,0.14191812772498974,75459
MAM,60,14,30,180,25,0.11549165912544607,58567
MAM,60,14,30,180,40,0.13816654429969094,58567
MAM,60,15,30,180,25,0.10082420961987944,40645
MAM,60,15,30,180,40,0.12099889285274941,40645
MAM,60,16,30,180,25,0.07908153183416985,25303
MAM,60,16,30,180,40,0.09441568193494843,25303
MAM,60,17,30,180,25,0.0589386302994367,16865
MAM,60,17,30,180,40,0.06937444411503113,16865
MAM,90,10,30,250,25,0.14543915287035047,74416
MAM,90,10,30,250,40,0.1886153515373038,74416
MAM,90,11,30,250,25,0.15965879066958558,79482
MAM,90,11,30,250,40,0.20556855640270752,79482
MAM,90,12,30,250,25,0.1564437633905135,70479
MAM,90,12,30,250,40,0.19961974488854836,70479
MAM,90,13,30,250,25,0.14185490576496673,57728
MAM,90,13,30,250,40,0.18148905210643015,57728
MAM,90,14,30,250,25,0.1345144960883571,43460
MAM,90,14,30,250,40,0.1709157846295444,43460
MAM,90,15,30,250,25,0.10331364161064711,29454
MAM,90,15,30,250,40,0.13424322672642086,29454
MAM,90,16,30,250,25,0.07324788655576765,18335
MAM,90,16,30,250,40,0.0949004635942187,18335
MAM,90,17,30,250,25,0.04766010817590342,12757
MAM,90,17,30,250,40,0.060359018578035585,12757
MAM,120,10,30,350,25,0.14358208475855536,62271
MAM,120,10,30,350,40,0.20923062099532688,62271
MAM,120,11,30,350,25,0.14997024718956561,62179
MAM,120,11,30,350,40,0.2152173563421734,62179
MAM,120,12,30,350,25,0.14170079591994436,51764
MAM,120,12,30,350,40,0.19818792983540684,51764
MAM,120,13,30,350,25,0.12769441321667727,40918
MAM,120,13,30,350,40,0.17671929224302263,40918
MAM,120,14,30,350,25,0.1179762025145785,29667
MAM,120,14,30,350,40,0.1595712407725756,29667
MAM,120,15,30,350,25,0.08887415867836018,19612
MAM,120,15,30,350,40,0.12186416479706302,19612
MAM,120,16,30,350,25,0.05082970839374899,12414
MAM,120,16,30,350,40,0.07112937006605445,12414
MAM,120,17,30,350,25,0.03134411600669269,8965
MAM,120,17,30,350,40,0.042610150585610705,8965
