season,lead_time_min,hour,local_excl_km,guard_excl_km,incl_radius_km,p_incl_causal,n_causal
SON,30,10,30,100,25,0.032972932481022774,80096
SON,30,10,30,100,40,0.04352277267279265,80096
SON,30,11,30,100,25,0.03199671407300919,97385
SON,30,11,30,100,40,0.043559069671920726,97385
SON,30,12,30,100,25,0.029350962573754254,92876
SON,30,12,30,100,40,0.04013954089323399,92876
SON,30,13,30,100,25,0.02949765275570177,81159
SON,30,13,30,100,40,0.04006949321701844,81159
SON,30,14,30,100,25,0.03032844854525419,60801
SON,30,14,30,100,40,0.04021315438890808,60801
SON,30,15,30,100,25,0.03127048483818495,41189
SON,30,15,30,100,40,0.04103037218674889,41189
SON,30,16,30,100,25,0.03120526767821357,24451
SON,30,16,30,100,40,0.03905770725123717,24451
SON,30,17,30,100,25,0.031883325967548455,15839
SON,30,17,30,100,40,0.03952269713997096,15839
SON,60,10,30,180,25,0.10119895792852311,69477
SON,60,10,30,180,40,0.1247607121781309,69477
SON,60,11,30,180,25,0.09875926180450564,80033
SON,60,11,30,180,40,0.12303674734172154,80033
SON,60,12,30,180,25,0.08628775345574864,73139
SON,60,12,30,180,40,0.1082185974651007,73139
SON,60,13,30,180,25,0.07823123705793156,61331
SON,60,13,30,180,40,0.09756892925274331,61331
SON,60,14,30,180,25,0.07607016268290466,44012
SON,60,14,30,180,40,0.09504226120149051,44012
SON,60,15,30,180,25,0.06326423967949835,28705
SON,60,15,30,180,40,0.0801254136909946,28705
SON,60,16,30,180,25,0.05083549070369499,16996
SON,60,16,30,180,40,0.06142621793363144,16996
SON,60,17,30,180,25,0.04939326610835754,11702
SON,60,17,30,180,40,0.057596991967185096,11702
SON,90,10,30,250,25,0.1389942373048318,60909
SON,90,10,30,250,40,0.18327340787075802,60909
SON,90,11,30,250,25,0.1334701342730963,67251
SON,90,11,30,250,40,0.17741000133827006,67251
SON,90,12,30,250,25,0.11216950806980933,59419
SON,90,12,30,250,40,0.15161816927245494,59419
SON,90,13,30,250,25,0.09768415865976841,48708
SON,90,13,30,250,40,0.13166214995483289,48708
SON,90,14,30,250,25,0.09081221880179967,33784
SON,90,14,30,250,40,0.12470400189438788,33784
SON,90,15,30,250,25,0.07197274404959068,21133
SON,90,15,30,250,40,0.09653149103298159,21133
SON,90,16,30,250,25,0.046444586803331196,12488
SON,90,16,30,250,40,0.06125880845611787,12488
SON,90,17,30,250,25,0.04051196438508625,8985
SON,90,17,30,250,40,0.05208681135225376,8985
SON,120,10,30,350,25,0.13448864538669209,50376
SON,120,10,30,350,40,0.1981102112116881,50376
SON,120,11,30,350,25,0.12238698285518997,52669
SON,120,11,30,350,40,0.18230837874271394,52669
SON,120,12,30,350,25,0.0977393020543644,44588
SON,120,12,30,350,40,0.15143087826320983,44588
SON,120,13,30,350,25,0.08711073872364195,35805
SON,120,13,30,350,40,0.13185309314341573,35805
SON,120,14,30,350,25,0.07725195959257242,23857
SON,120,14,30,350,40,0.12009053946430817,23857
SON,120,15,30,350,25,0.05258341545825707,14206
SON,120,15,30,350,40,0.08003660425172462,14206
SON,120,16,30,350,25,0.02631578947368421,8436
SON,120,16,30,350,40,0.040896159317211946,8436
SON,120,17,30,350,25,0.024689416574933166,6359
SON,120,17,30,350,40,0.03727001100802013,6359
