2026-01-08 11:17:13,454 INFO    MainThread:118400 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2026-01-08 11:17:13,455 INFO    MainThread:118400 [wandb_setup.py:_flush():81] Configure stats pid to 118400
2026-01-08 11:17:13,455 INFO    MainThread:118400 [wandb_setup.py:_flush():81] Loading settings from /home/users/mendrika/.config/wandb/settings
2026-01-08 11:17:13,455 INFO    MainThread:118400 [wandb_setup.py:_flush():81] Loading settings from /home/users/mendrika/Object-Based-LSTMConv/wandb/settings
2026-01-08 11:17:13,455 INFO    MainThread:118400 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-01-08 11:17:13,455 INFO    MainThread:118400 [wandb_init.py:setup_run_log_directory():703] Logging user logs to ./wandb/run-20260108_111713-npjl65cb/logs/debug.log
2026-01-08 11:17:13,455 INFO    MainThread:118400 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to ./wandb/run-20260108_111713-npjl65cb/logs/debug-internal.log
2026-01-08 11:17:13,455 INFO    MainThread:118400 [wandb_init.py:init():831] calling init triggers
2026-01-08 11:17:13,455 INFO    MainThread:118400 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-01-08 11:17:13,455 INFO    MainThread:118400 [wandb_init.py:init():872] starting backend
2026-01-08 11:17:13,876 INFO    MainThread:118400 [wandb_init.py:init():875] sending inform_init request
2026-01-08 11:17:13,885 INFO    MainThread:118400 [wandb_init.py:init():883] backend started and connected
2026-01-08 11:17:13,888 INFO    MainThread:118400 [wandb_init.py:init():956] updated telemetry
2026-01-08 11:17:13,911 INFO    MainThread:118400 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2026-01-08 11:17:14,771 INFO    MainThread:118400 [wandb_init.py:init():1032] starting run threads in backend
2026-01-08 11:17:15,093 INFO    MainThread:118400 [wandb_run.py:_console_start():2453] atexit reg
2026-01-08 11:17:15,093 INFO    MainThread:118400 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2026-01-08 11:17:15,093 INFO    MainThread:118400 [wandb_run.py:_redirect():2370] Wrapping output streams.
2026-01-08 11:17:15,093 INFO    MainThread:118400 [wandb_run.py:_redirect():2393] Redirects installed.
2026-01-08 11:17:15,098 INFO    MainThread:118400 [wandb_init.py:init():1078] run started, returning control to user process
2026-01-08 11:17:15,177 INFO    MainThread:118400 [wandb_run.py:_config_callback():1358] config_cb None None {'embed_dim': 128, 'num_heads': 4, 'num_layers': 4, 'lr': 7e-05, 'dropout_p': 0.2, 'pos_weight': 25.0, 'alpha': 0.3, 'latent_hw': 64}
2026-01-08 15:31:30,269 INFO    MsgRouterThr:118400 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 2 handles.
