2026-01-09 18:34:06,444 INFO    MainThread:49563 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2026-01-09 18:34:06,445 INFO    MainThread:49563 [wandb_setup.py:_flush():81] Configure stats pid to 49563
2026-01-09 18:34:06,445 INFO    MainThread:49563 [wandb_setup.py:_flush():81] Loading settings from /home/users/mendrika/.config/wandb/settings
2026-01-09 18:34:06,445 INFO    MainThread:49563 [wandb_setup.py:_flush():81] Loading settings from /home/users/mendrika/Object-Based-LSTMConv/wandb/settings
2026-01-09 18:34:06,445 INFO    MainThread:49563 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-01-09 18:34:06,445 INFO    MainThread:49563 [wandb_init.py:setup_run_log_directory():703] Logging user logs to ./wandb/run-20260109_183406-4dyn7v47/logs/debug.log
2026-01-09 18:34:06,445 INFO    MainThread:49563 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to ./wandb/run-20260109_183406-4dyn7v47/logs/debug-internal.log
2026-01-09 18:34:06,445 INFO    MainThread:49563 [wandb_init.py:init():831] calling init triggers
2026-01-09 18:34:06,445 INFO    MainThread:49563 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-01-09 18:34:06,445 INFO    MainThread:49563 [wandb_init.py:init():872] starting backend
2026-01-09 18:34:06,663 INFO    MainThread:49563 [wandb_init.py:init():875] sending inform_init request
2026-01-09 18:34:06,670 INFO    MainThread:49563 [wandb_init.py:init():883] backend started and connected
2026-01-09 18:34:06,672 INFO    MainThread:49563 [wandb_init.py:init():956] updated telemetry
2026-01-09 18:34:06,687 INFO    MainThread:49563 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2026-01-09 18:34:07,399 INFO    MainThread:49563 [wandb_init.py:init():1032] starting run threads in backend
2026-01-09 18:34:07,694 INFO    MainThread:49563 [wandb_run.py:_console_start():2453] atexit reg
2026-01-09 18:34:07,694 INFO    MainThread:49563 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2026-01-09 18:34:07,694 INFO    MainThread:49563 [wandb_run.py:_redirect():2370] Wrapping output streams.
2026-01-09 18:34:07,694 INFO    MainThread:49563 [wandb_run.py:_redirect():2393] Redirects installed.
2026-01-09 18:34:07,698 INFO    MainThread:49563 [wandb_init.py:init():1078] run started, returning control to user process
2026-01-09 18:34:07,768 INFO    MainThread:49563 [wandb_run.py:_config_callback():1358] config_cb None None {'embed_dim': 128, 'num_heads': 4, 'num_layers': 4, 'lr': 7e-05, 'dropout_p': 0.2, 'pos_weight': 25.0, 'alpha': 0.3, 'latent_hw': 64}
2026-01-09 21:05:01,816 INFO    MsgRouterThr:49563 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
